z,s_hat,chi
0.18065807,-0.4345552884,2.2524926560
0.18095800,-0.4352308101,2.2520360114
0.18125793,-0.4359061947,2.2515795960
0.18155786,-0.4365814426,2.2511234095
0.18185779,-0.4372565536,2.2506674518
0.18215772,-0.4379315279,2.2502117227
0.18245765,-0.4386063656,2.2497562222
0.18275758,-0.4392810666,2.2493009501
0.18305751,-0.4399556312,2.2488459061
0.18335744,-0.4406300593,2.2483910903
0.18365737,-0.4413043511,2.2479365024
0.18395730,-0.4419785065,2.2474821424
0.18425723,-0.4426525257,2.2470280100
0.18455716,-0.4433264087,2.2465741051
0.18485709,-0.4440001556,2.2461204276
0.18515702,-0.4446737664,2.2456669773
0.18545695,-0.4453472413,2.2452137541
0.18575688,-0.4460205803,2.2447607579
0.18605681,-0.4466937835,2.2443079885
0.18635674,-0.4473668509,2.2438554458
0.18665667,-0.4480397826,2.2434031297
0.18695660,-0.4487125787,2.2429510399
0.18725653,-0.4493852392,2.2424991764
0.18755646,-0.4500577642,2.2420475390
0.18785639,-0.4507301538,2.2415961275
0.18815632,-0.4514024080,2.2411449419
0.18845625,-0.4520745270,2.2406939820
0.18875618,-0.4527465107,2.2402432477
0.18905611,-0.4534183592,2.2397927387
0.18935604,-0.4540900727,2.2393424551
0.18965597,-0.4547616512,2.2388923966
0.18995590,-0.4554330947,2.2384425631
0.19025583,-0.4561044033,2.2379929544
0.19055576,-0.4567755771,2.2375435705
0.19085569,-0.4574466162,2.2370944111
0.19115562,-0.4581175205,2.2366454762
0.19145555,-0.4587882903,2.2361967656
0.19175548,-0.4594589255,2.2357482792
0.19205541,-0.4601294262,2.2353000168
0.19235534,-0.4607997925,2.2348519783
0.19265527,-0.4614700245,2.2344041635
0.19295520,-0.4621401222,2.2339565724
0.19325513,-0.4628100857,2.2335092047
0.19355506,-0.4634799150,2.2330620604
0.19385499,-0.4641496102,2.2326151393
0.19415492,-0.4648191715,2.2321684412
0.19445485,-0.4654885988,2.2317219661
0.19475478,-0.4661578922,2.2312757138
0.19505471,-0.4668270518,2.2308296841
0.19535464,-0.4674960777,2.2303838770
0.19565457,-0.4681649698,2.2299382922
0.19595450,-0.4688337284,2.2294929297
0.19625443,-0.4695023534,2.2290477893
0.19655436,-0.4701708450,2.2286028708
0.19685429,-0.4708392031,2.2281581742
0.19715422,-0.4715074279,2.2277136994
